case_id,cuisine,restaurant_size,restaurant_id,v1_result,v2_result
C-01,Thai,Large,R-01,pass,pass
C-02,Thai,Large,R-01,pass,pass
C-03,Thai,Large,R-01,fail,pass
C-04,Thai,Large,R-01,fail,pass
C-05,Thai,Small,R-02,pass,pass
C-06,Thai,Small,R-02,fail,pass
C-07,Thai,Small,R-02,fail,fail
C-08,Thai,Large,R-10,pass,pass
C-09,Thai,Large,R-10,pass,pass
C-10,Thai,Large,R-10,fail,pass
C-11,Thai,Large,R-10,fail,pass
C-12,Thai,Large,R-10,fail,fail
C-13,Thai,Small,R-11,pass,pass
C-14,Thai,Small,R-11,fail,pass
C-15,Thai,Small,R-11,fail,fail
C-16,American,Large,R-03,pass,pass
C-17,American,Large,R-03,pass,pass
C-18,American,Large,R-03,pass,fail
C-19,American,Small,R-04,pass,pass
C-20,American,Small,R-04,pass,pass
C-21,American,Small,R-04,pass,fail
C-22,American,Large,R-05,pass,pass
C-23,American,Large,R-05,pass,fail
C-24,American,Large,R-05,pass,fail
C-25,American,Small,R-06,pass,pass
C-26,Indian,Large,R-07,pass,pass
C-27,Indian,Large,R-07,pass,pass
C-28,Indian,Large,R-07,pass,pass
C-29,Indian,Large,R-07,fail,pass
C-30,Indian,Small,R-08,pass,pass
C-31,Indian,Small,R-08,pass,pass
C-32,Indian,Small,R-08,pass,fail
C-33,Indian,Large,R-09,pass,pass
C-34,Indian,Large,R-09,pass,pass
C-35,Indian,Large,R-09,fail,fail
C-36,Indian,Small,R-12,pass,pass
C-37,Indian,Small,R-12,pass,pass
C-38,Indian,Small,R-12,fail,pass
C-39,Indian,Small,R-12,fail,pass
C-40,Indian,Small,R-12,fail,fail
