"metric_id","metric_name","v2_value","v3_value","release_threshold","threshold_rationale"
"M-01","Allergen safety accuracy","99.2%","98.1%",">=99.0%","Regulatory requirement; allergen mislabeling carries legal liability"
"M-02","False approval rate (safety-critical changes)","1.8%","1.5%","<=2.0%","Business requirement; false approvals on safety items create direct customer risk"
"M-03","System availability","99.7%","99.8%",">=99.5%","SLA commitment to restaurant partners"
"M-04","Response latency (p95)","450ms","520ms","<=800ms","User experience; above 800ms causes timeout errors in partner integrations"
"M-05","Hallucination rate","12%","8%","<=15%","Quality floor; above 15% reasoning becomes unreliable for audit trail"
"M-06","Overall decision accuracy","78%","84%","",""
"M-07","Description claim accuracy","71%","82%","",""
"M-08","Price verification accuracy","88%","90%","",""
"M-09","False rejection rate","12%","9%","",""
"M-10","Average cost per verification","$0.12","$0.15","",""
"M-11","Escalation rate (to human review)","18%","22%","",""
"M-12","Vendor satisfaction score","3.8","4.1","",""
