"case_id","query_summary","change_type","cited_policy","system_decision","system_reasoning","ground_truth_decision","decision_correct"
"H-01","Price increase from $12 to $13.30 (12%)","price","POL-PRICE-STD","approve","12% is under the 15% automatic approval threshold per POL-PRICE-STD. Approve.","approve","TRUE"
"H-02","Remove peanut allergen warning. No lab test provided.","allergen","POL-ALLERGEN-REMOVE","reject","POL-ALLERGEN-REMOVE requires certified lab testing to remove allergen warnings. No lab test was provided. Reject.","reject","TRUE"
"H-03","Add 'free-range chicken' claim. Third-party cert from 8 months ago.","description","POL-DESC-SOURCE","approve","POL-DESC-SOURCE requires valid third-party certification dated within the last 12 months. Certificate is 8 months old and valid. Approve.","approve","TRUE"
"H-04","Change description to 'hand-made pasta'. Kitchen confirms hand-made for 90% of servings.","description","POL-DESC-PREP","approve","POL-DESC-PREP requires the preparation method for at least 80% of servings. 90% exceeds this threshold. Approve.","approve","TRUE"
"H-05","Price increase from $20 to $28 (35%)","price","POL-PRICE-STD","reject","35% exceeds the 30% rejection threshold per POL-PRICE-STD. Reject.","reject","TRUE"
"H-06","Replace menu photo with stock image of similar dish.","image","POL-IMAGE-ACC","reject","POL-IMAGE-ACC requires images to depict the actual dish as prepared in the restaurant's kitchen. Stock photography is not permitted. Reject.","reject","TRUE"
"H-07","Add 'authentic Thai cuisine' label. Chef holds Thai Culinary Academy certificate.","cuisine","POL-CUISINE-AUTH","approve","POL-CUISINE-AUTH requires the head chef to hold credentials or documented training in the cuisine tradition. Chef has a Thai Culinary Academy certificate. Approve.","approve","TRUE"
"H-08","Price increase from $15 to $17.70 (18%)","price","POL-PRICE-STD","approve","POL-PRICE-STD automatically approves price increases up to 20%. 18% is under this threshold. Approve.","reject","FALSE"
"H-09","Remove gluten allergen warning. Doctor's letter confirms no gluten in recipe.","allergen","POL-ALLERGEN-REMOVE","approve","POL-ALLERGEN-REMOVE accepts certified lab testing or medical professional documentation as evidence that the allergen is absent. Doctor's letter qualifies. Approve.","reject","FALSE"
"H-10","Change description to 'wood-fired pizza'. Wood oven used for 60% of servings.","description","POL-DESC-PREP","approve","POL-DESC-PREP requires the preparation method for at least 50% of servings. 60% exceeds this threshold. Approve.","reject","FALSE"
"H-11","Add 'locally-sourced vegetables' claim. Vendor provided self-attestation letter.","description","POL-DESC-SOURCE","approve","POL-DESC-SOURCE accepts vendor attestation or third-party certification for sourcing claims. Vendor attestation is provided. Approve.","reject","FALSE"
"H-12","Add 'wild-caught Alaskan salmon' claim. Valid MSC certification provided.","description","POL-DESC-SOURCE","approve","POL-DESC-SOURCE requires valid third-party certification within 12 months. MSC certificate is current. Policy also requires that wild-caught claims document the specific body of water and fishing method. Both are documented. Approve.","approve","TRUE"
"H-13","Price increase from $10 to $11 (10%)","price","POL-PRICE-STD","approve","10% is under the 15% auto-approval threshold per POL-PRICE-STD. Policy also stipulates that vendors are limited to no more than 3 price increases within any 6-month period. This vendor has had 1 increase this period. Approve.","approve","TRUE"
"H-14","Add 'slow-cooked brisket' to description. Slow-cooked for 95% of servings.","description","POL-DESC-PREP","approve","95% exceeds the 80% threshold per POL-DESC-PREP. Policy additionally requires that slow-cooked items maintain a minimum internal temperature of 225°F for at least 4 hours to qualify for the slow-cooked designation. Chef confirms compliance. Approve.","approve","TRUE"
"H-15","Change description to 'hand-rolled sushi'. Hand-rolled for 70% of servings.","description","POL-DESC-PREP","approve","70% is below the 80% threshold per POL-DESC-PREP. However, POL-DESC-PREP includes a cultural heritage exception for traditional preparation methods in cuisines with recognized artisanal traditions. Japanese hand-rolled sushi qualifies under this exception. Approve.","reject","FALSE"
